IB Offset,Index,Index + Base,Index: 0 Type: GL_FLOAT Size: 3 : Component 0,Index: 0 Type: GL_FLOAT Size: 3 : Component 1,Index: 0 Type: GL_FLOAT Size: 3 : Component 2,Index: 1 Type: GL_FLOAT Size: 2 : Component 0,Index: 1 Type: GL_FLOAT Size: 2 : Component 1
116,222,222,1.397,0.468,2.436,0.334,0.538
117,220,220,1.399,0.439,2.296,0.326,0.520
118,208,208,1.265,0.603,2.334,0.355,0.518
119,222,222,1.397,0.468,2.436,0.334,0.538
120,328,328,1.395,0.487,2.588,0.342,0.557
121,222,222,1.397,0.468,2.436,0.334,0.538
122,208,208,1.265,0.603,2.334,0.355,0.518
123,220,220,1.399,0.439,2.296,0.326,0.520
124,221,221,1.399,0.409,2.152,0.319,0.501
125,210,210,1.268,0.492,1.993,0.336,0.474
126,220,220,1.399,0.439,2.296,0.326,0.520
127,210,210,1.268,0.492,1.993,0.336,0.474
128,209,209,1.268,0.553,2.165,0.346,0.496
129,220,220,1.399,0.439,2.296,0.326,0.520
130,209,209,1.268,0.553,2.165,0.346,0.496
131,208,208,1.265,0.603,2.334,0.355,0.518
132,220,220,1.399,0.439,2.296,0.326,0.520
133,224,224,1.485,0.297,2.397,0.307,0.545
134,225,225,1.487,0.293,2.275,0.303,0.528
135,220,220,1.399,0.439,2.296,0.326,0.520
136,225,225,1.487,0.293,2.275,0.303,0.528
137,221,221,1.399,0.409,2.152,0.319,0.501
138,1543,1543,1.397,0.387,1.985,0.313,0.478
139,210,210,1.268,0.492,1.993,0.336,0.474
140,221,221,1.399,0.409,2.152,0.319,0.501
141,1543,1543,1.397,0.387,1.985,0.313,0.478
142,221,221,1.399,0.409,2.152,0.319,0.501
143,225,225,1.487,0.293,2.275,0.303,0.528
144,1543,1543,1.397,0.387,1.985,0.313,0.478
145,225,225,1.487,0.293,2.275,0.303,0.528
146,1547,1547,1.486,0.295,2.135,0.300,0.510
147,1543,1543,1.397,0.387,1.985,0.313,0.478
148,1544,1544,1.392,0.330,1.850,0.307,0.454
149,1545,1545,1.259,0.363,1.645,0.318,0.421
150,1543,1543,1.397,0.387,1.985,0.313,0.478
151,1545,1545,1.259,0.363,1.645,0.318,0.421
152,1546,1546,1.264,0.444,1.803,0.327,0.448
153,1543,1543,1.397,0.387,1.985,0.313,0.478
154,1546,1546,1.264,0.444,1.803,0.327,0.448
155,210,210,1.268,0.492,1.993,0.336,0.474
156,1543,1543,1.397,0.387,1.985,0.313,0.478
157,1547,1547,1.486,0.295,2.135,0.300,0.510
158,1548,1548,1.461,0.274,2.007,0.297,0.490
159,1543,1543,1.397,0.387,1.985,0.313,0.478
160,1548,1548,1.461,0.274,2.007,0.297,0.490
161,1544,1544,1.392,0.330,1.850,0.307,0.454
162,1549,1549,1.109,0.467,1.652,0.342,0.422
163,1546,1546,1.264,0.444,1.803,0.327,0.448
164,1545,1545,1.259,0.363,1.645,0.318,0.421
165,1549,1549,1.109,0.467,1.652,0.342,0.422
166,1545,1545,1.259,0.363,1.645,0.318,0.421
167,1550,1550,1.105,0.377,1.490,0.333,0.395
168,1549,1549,1.109,0.467,1.652,0.342,0.422
169,210,210,1.268,0.492,1.993,0.336,0.474
170,1546,1546,1.264,0.444,1.803,0.327,0.448
171,1549,1549,1.109,0.467,1.652,0.342,0.422
172,1550,1550,1.105,0.377,1.490,0.333,0.395
173,1542,1542,0.953,0.380,1.379,0.349,0.374
174,1549,1549,1.109,0.467,1.652,0.342,0.422
175,1542,1542,0.953,0.380,1.379,0.349,0.374
176,1541,1541,0.954,0.474,1.536,0.358,0.400
177,1549,1549,1.109,0.467,1.652,0.342,0.422
178,1541,1541,0.954,0.474,1.536,0.358,0.400
179,204,204,0.952,0.546,1.734,0.369,0.427
180,1549,1549,1.109,0.467,1.652,0.342,0.422
181,204,204,0.952,0.546,1.734,0.369,0.427
182,203,203,1.110,0.530,1.850,0.353,0.448
183,1549,1549,1.109,0.467,1.652,0.342,0.422
184,203,203,1.110,0.530,1.850,0.353,0.448
185,210,210,1.268,0.492,1.993,0.336,0.474
186,1537,1537,0.824,0.486,1.461,0.372,0.385
187,1541,1541,0.954,0.474,1.536,0.358,0.400
188,1542,1542,0.953,0.380,1.379,0.349,0.374
189,1537,1537,0.824,0.486,1.461,0.372,0.385
190,1542,1542,0.953,0.380,1.379,0.349,0.374
191,1538,1538,0.824,0.384,1.306,0.363,0.360
192,1537,1537,0.824,0.486,1.461,0.372,0.385
193,204,204,0.952,0.546,1.734,0.369,0.427
194,1541,1541,0.954,0.474,1.536,0.358,0.400
195,1537,1537,0.824,0.486,1.461,0.372,0.385
196,1538,1538,0.824,0.384,1.306,0.363,0.360
197,1539,1539,0.709,0.387,1.256,0.376,0.348
198,1537,1537,0.824,0.486,1.461,0.372,0.385
199,1539,1539,0.709,0.387,1.256,0.376,0.348
200,1540,1540,0.707,0.498,1.410,0.386,0.373
201,1537,1537,0.824,0.486,1.461,0.372,0.385
202,1540,1540,0.707,0.498,1.410,0.386,0.373
203,243,243,0.703,0.587,1.604,0.397,0.400
204,1537,1537,0.824,0.486,1.461,0.372,0.385
205,243,243,0.703,0.587,1.604,0.397,0.400
206,242,242,0.820,0.567,1.657,0.383,0.412
207,1537,1537,0.824,0.486,1.461,0.372,0.385
208,242,242,0.820,0.567,1.657,0.383,0.412
209,204,204,0.952,0.546,1.734,0.369,0.427
210,2664,2664,0.592,0.509,1.366,0.399,0.363
211,1540,1540,0.707,0.498,1.410,0.386,0.373
212,1539,1539,0.709,0.387,1.256,0.376,0.348
213,2664,2664,0.592,0.509,1.366,0.399,0.363
214,1539,1539,0.709,0.387,1.256,0.376,0.348
215,2665,2665,0.596,0.390,1.214,0.389,0.337
216,2664,2664,0.592,0.509,1.366,0.399,0.363
217,243,243,0.703,0.587,1.604,0.397,0.400
218,1540,1540,0.707,0.498,1.410,0.386,0.373
219,2664,2664,0.592,0.509,1.366,0.399,0.363
220,2665,2665,0.596,0.390,1.214,0.389,0.337
221,2666,2666,0.485,0.392,1.178,0.402,0.328
222,2664,2664,0.592,0.509,1.366,0.399,0.363
223,2666,2666,0.485,0.392,1.178,0.402,0.328
224,2667,2667,0.480,0.517,1.329,0.413,0.353
225,2664,2664,0.592,0.509,1.366,0.399,0.363
226,2667,2667,0.480,0.517,1.329,0.413,0.353
227,2668,2668,0.474,0.619,1.520,0.424,0.381
228,2664,2664,0.592,0.509,1.366,0.399,0.363
229,2668,2668,0.474,0.619,1.520,0.424,0.381
230,2669,2669,0.587,0.605,1.558,0.411,0.390
231,2664,2664,0.592,0.509,1.366,0.399,0.363
232,2669,2669,0.587,0.605,1.558,0.411,0.390
233,243,243,0.703,0.587,1.604,0.397,0.400
234,3643,3643,0.372,0.524,1.298,0.426,0.345
235,2667,2667,0.480,0.517,1.329,0.413,0.353
236,2666,2666,0.485,0.392,1.178,0.402,0.328
237,3643,3643,0.372,0.524,1.298,0.426,0.345
238,2666,2666,0.485,0.392,1.178,0.402,0.328
239,3644,3644,0.378,0.394,1.148,0.415,0.319
240,3643,3643,0.372,0.524,1.298,0.426,0.345
241,2668,2668,0.474,0.619,1.520,0.424,0.381
242,2667,2667,0.480,0.517,1.329,0.413,0.353
243,3643,3643,0.372,0.524,1.298,0.426,0.345
244,3644,3644,0.378,0.394,1.148,0.415,0.319
245,15,15,0.264,0.395,1.127,0.428,0.311
246,3643,3643,0.372,0.524,1.298,0.426,0.345
247,15,15,0.264,0.395,1.127,0.428,0.311
248,14,14,0.258,0.529,1.277,0.440,0.337
249,3643,3643,0.372,0.524,1.298,0.426,0.345
250,14,14,0.258,0.529,1.277,0.440,0.337
251,13,13,0.252,0.637,1.465,0.451,0.365
252,3643,3643,0.372,0.524,1.298,0.426,0.345
253,13,13,0.252,0.637,1.465,0.451,0.365
254,3634,3634,0.365,0.630,1.487,0.437,0.372
255,3643,3643,0.372,0.524,1.298,0.426,0.345
256,3634,3634,0.365,0.630,1.487,0.437,0.372
257,2668,2668,0.474,0.619,1.520,0.424,0.381
258,9,9,0.132,0.530,1.270,0.456,0.330
259,14,14,0.258,0.529,1.277,0.440,0.337
260,15,15,0.264,0.395,1.127,0.428,0.311
261,9,9,0.132,0.530,1.270,0.456,0.330
262,15,15,0.264,0.395,1.127,0.428,0.311
263,16,16,0.136,0.395,1.120,0.445,0.304
264,9,9,0.132,0.530,1.270,0.456,0.330
265,13,13,0.252,0.637,1.465,0.451,0.365
266,14,14,0.258,0.529,1.277,0.440,0.337
267,9,9,0.132,0.530,1.270,0.456,0.330
268,10,10,0.000,0.530,1.270,0.473,0.324
269,11,11,0.000,0.639,1.458,0.484,0.352
270,9,9,0.132,0.530,1.270,0.456,0.330
271,11,11,0.000,0.639,1.458,0.484,0.352
272,12,12,0.129,0.639,1.458,0.467,0.358
273,9,9,0.132,0.530,1.270,0.456,0.330
274,12,12,0.129,0.639,1.458,0.467,0.358
275,13,13,0.252,0.637,1.465,0.451,0.365
276,9,9,0.132,0.530,1.270,0.456,0.330
277,16,16,0.136,0.395,1.120,0.445,0.304
278,17,17,0.000,0.395,1.120,0.463,0.297
279,9,9,0.132,0.530,1.270,0.456,0.330
280,17,17,0.000,0.395,1.120,0.463,0.297
281,10,10,0.000,0.530,1.270,0.473,0.324
282,1572,1572,0.128,0.741,1.673,0.478,0.389
283,12,12,0.129,0.639,1.458,0.467,0.358
284,11,11,0.000,0.639,1.458,0.484,0.352
285,1572,1572,0.128,0.741,1.673,0.478,0.389
286,11,11,0.000,0.639,1.458,0.484,0.352
287,1573,1573,0.000,0.741,1.673,0.495,0.383
288,1572,1572,0.128,0.741,1.673,0.478,0.389
289,13,13,0.252,0.637,1.465,0.451,0.365
290,12,12,0.129,0.639,1.458,0.467,0.358
291,1572,1572,0.128,0.741,1.673,0.478,0.389
292,1573,1573,0.000,0.741,1.673,0.495,0.383
293,240,240,0.000,0.821,1.910,0.506,0.416
294,1572,1572,0.128,0.741,1.673,0.478,0.389
295,240,240,0.000,0.821,1.910,0.506,0.416
296,239,239,0.128,0.821,1.910,0.489,0.422
297,1572,1572,0.128,0.741,1.673,0.478,0.389
298,239,239,0.128,0.821,1.910,0.489,0.422
299,238,238,0.250,0.819,1.918,0.474,0.428
300,1572,1572,0.128,0.741,1.673,0.478,0.389
301,238,238,0.250,0.819,1.918,0.474,0.428
302,1574,1574,0.250,0.739,1.681,0.463,0.395
303,1572,1572,0.128,0.741,1.673,0.478,0.389
304,1574,1574,0.250,0.739,1.681,0.463,0.395
305,13,13,0.252,0.637,1.465,0.451,0.365
306,232,232,0.128,0.864,2.159,0.499,0.455
307,239,239,0.128,0.821,1.910,0.489,0.422
308,240,240,0.000,0.821,1.910,0.506,0.416
309,232,232,0.128,0.864,2.159,0.499,0.455
310,240,240,0.000,0.821,1.910,0.506,0.416
311,233,233,0.000,0.864,2.159,0.516,0.450
312,232,232,0.128,0.864,2.159,0.499,0.455
313,238,238,0.250,0.819,1.918,0.474,0.428
314,239,239,0.128,0.821,1.910,0.489,0.422
315,232,232,0.128,0.864,2.159,0.499,0.455
316,233,233,0.000,0.864,2.159,0.516,0.450
317,234,234,0.000,0.868,2.413,0.525,0.484
318,232,232,0.128,0.864,2.159,0.499,0.455
319,234,234,0.000,0.868,2.413,0.525,0.484
320,235,235,0.129,0.868,2.413,0.508,0.488
321,232,232,0.128,0.864,2.159,0.499,0.455
322,235,235,0.129,0.868,2.413,0.508,0.488
323,236,236,0.254,0.861,2.419,0.492,0.493
324,232,232,0.128,0.864,2.159,0.499,0.455
325,236,236,0.254,0.861,2.419,0.492,0.493
