IB Offset,Index,Index + Base,Index: 0 Type: GL_FLOAT Size: 3 : Component 0,Index: 0 Type: GL_FLOAT Size: 3 : Component 1,Index: 0 Type: GL_FLOAT Size: 3 : Component 2,Index: 1 Type: GL_FLOAT Size: 2 : Component 0,Index: 1 Type: GL_FLOAT Size: 2 : Component 1
4753,1737,1737,2.212,-0.337,2.324,0.492,0.114
4754,1738,1738,2.282,-0.311,2.376,0.496,0.127
4755,1734,1734,2.188,-0.304,2.471,0.472,0.130
4756,1738,1738,2.282,-0.311,2.376,0.496,0.127
4757,1739,1739,2.340,-0.240,2.421,0.499,0.141
4758,1734,1734,2.188,-0.304,2.471,0.472,0.130
4759,1739,1739,2.340,-0.240,2.421,0.499,0.141
4760,1735,1735,2.235,-0.235,2.524,0.474,0.144
4761,1758,1758,2.070,-0.312,2.343,0.470,0.103
4762,1737,1737,2.212,-0.337,2.324,0.492,0.114
4763,1736,1736,2.130,-0.330,2.409,0.471,0.117
4764,1758,1758,2.070,-0.312,2.343,0.470,0.103
4765,1761,1761,2.138,-0.318,2.268,0.489,0.101
4766,1737,1737,2.212,-0.337,2.324,0.492,0.114
4767,1758,1758,2.070,-0.312,2.343,0.470,0.103
4768,1760,1760,2.077,-0.252,2.219,0.485,0.086
4769,1761,1761,2.138,-0.318,2.268,0.489,0.101
4770,1758,1758,2.070,-0.312,2.343,0.470,0.103
4771,1759,1759,2.020,-0.246,2.287,0.469,0.088
4772,1760,1760,2.077,-0.252,2.219,0.485,0.086
4773,1762,1762,1.995,-0.130,2.254,0.468,0.069
4774,1763,1763,2.045,-0.133,2.191,0.483,0.067
4775,1760,1760,2.077,-0.252,2.219,0.485,0.086
4776,1762,1762,1.995,-0.130,2.254,0.468,0.069
4777,1760,1760,2.077,-0.252,2.219,0.485,0.086
4778,1759,1759,2.020,-0.246,2.287,0.469,0.088
4779,1758,1758,2.070,-0.312,2.343,0.470,0.103
4780,289,289,1.945,-0.246,2.367,0.454,0.089
4781,1759,1759,2.020,-0.246,2.287,0.469,0.088
4782,1762,1762,1.995,-0.130,2.254,0.468,0.069
4783,1759,1759,2.020,-0.246,2.287,0.469,0.088
4784,289,289,1.945,-0.246,2.367,0.454,0.089
4785,1762,1762,1.995,-0.130,2.254,0.468,0.069
4786,289,289,1.945,-0.246,2.367,0.454,0.089
4787,294,294,1.927,-0.130,2.330,0.454,0.070
4788,1762,1762,1.995,-0.130,2.254,0.468,0.069
4789,294,294,1.927,-0.130,2.330,0.454,0.070
4790,293,293,1.921,0.012,2.313,0.454,0.049
4791,1762,1762,1.995,-0.130,2.254,0.468,0.069
4792,293,293,1.921,0.012,2.313,0.454,0.049
4793,1711,1711,1.985,0.012,2.239,0.468,0.049
4794,1762,1762,1.995,-0.130,2.254,0.468,0.069
4795,1711,1711,1.985,0.012,2.239,0.468,0.049
4796,1717,1717,2.032,0.011,2.177,0.482,0.048
4797,1762,1762,1.995,-0.130,2.254,0.468,0.069
4798,1717,1717,2.032,0.011,2.177,0.482,0.048
4799,1763,1763,2.045,-0.133,2.191,0.483,0.067
4800,1710,1710,1.982,0.153,2.236,0.467,0.029
4801,1711,1711,1.985,0.012,2.239,0.468,0.049
4802,293,293,1.921,0.012,2.313,0.454,0.049
4803,1710,1710,1.982,0.153,2.236,0.467,0.029
4804,293,293,1.921,0.012,2.313,0.454,0.049
4805,1712,1712,1.918,0.154,2.309,0.453,0.029
4806,1710,1710,1.982,0.153,2.236,0.467,0.029
4807,1717,1717,2.032,0.011,2.177,0.482,0.048
4808,1711,1711,1.985,0.012,2.239,0.468,0.049
4809,1710,1710,1.982,0.153,2.236,0.467,0.029
4810,1716,1716,2.028,0.156,2.175,0.481,0.028
4811,1717,1717,2.032,0.011,2.177,0.482,0.048
4812,1710,1710,1.982,0.153,2.236,0.467,0.029
4813,1712,1712,1.918,0.154,2.309,0.453,0.029
4814,1713,1713,1.930,0.270,2.333,0.452,0.010
4815,1710,1710,1.982,0.153,2.236,0.467,0.029
4816,1713,1713,1.930,0.270,2.333,0.452,0.010
4817,1714,1714,1.999,0.270,2.257,0.466,0.009
4818,1710,1710,1.982,0.153,2.236,0.467,0.029
4819,1714,1714,1.999,0.270,2.257,0.466,0.009
4820,1715,1715,2.049,0.275,2.193,0.480,0.009
4821,1710,1710,1.982,0.153,2.236,0.467,0.029
4822,1715,1715,2.049,0.275,2.193,0.480,0.009
4823,1716,1716,2.028,0.156,2.175,0.481,0.028
4824,169,169,2.453,-0.133,2.378,0.917,0.144
4825,170,170,2.465,0.011,2.390,0.917,0.124
4826,171,171,2.473,0.011,2.405,0.920,0.124
4827,169,169,2.453,-0.133,2.378,0.917,0.144
4828,171,171,2.473,0.011,2.405,0.920,0.124
4829,172,172,2.461,-0.142,2.392,0.920,0.144
4830,169,169,2.453,-0.133,2.378,0.917,0.144
4831,172,172,2.461,-0.142,2.392,0.920,0.144
4832,173,173,2.419,-0.270,2.358,0.920,0.163
4833,169,169,2.453,-0.133,2.378,0.917,0.144
4834,173,173,2.419,-0.270,2.358,0.920,0.163
4835,174,174,2.414,-0.254,2.345,0.917,0.162
4836,169,169,2.453,-0.133,2.378,0.917,0.144
4837,174,174,2.414,-0.254,2.345,0.917,0.162
4838,175,175,2.409,-0.237,2.333,0.913,0.161
4839,169,169,2.453,-0.133,2.378,0.917,0.144
4840,175,175,2.409,-0.237,2.333,0.913,0.161
4841,176,176,2.446,-0.124,2.363,0.914,0.143
4842,169,169,2.453,-0.133,2.378,0.917,0.144
4843,176,176,2.446,-0.124,2.363,0.914,0.143
4844,177,177,2.456,0.011,2.374,0.914,0.124
4845,169,169,2.453,-0.133,2.378,0.917,0.144
4846,177,177,2.456,0.011,2.374,0.914,0.124
4847,170,170,2.465,0.011,2.390,0.917,0.124
4848,1617,1617,2.445,0.155,2.372,0.916,0.103
4849,171,171,2.473,0.011,2.405,0.920,0.124
4850,170,170,2.465,0.011,2.390,0.917,0.124
4851,1617,1617,2.445,0.155,2.372,0.916,0.103
4852,170,170,2.465,0.011,2.390,0.917,0.124
4853,177,177,2.456,0.011,2.374,0.914,0.124
4854,1617,1617,2.445,0.155,2.372,0.916,0.103
4855,177,177,2.456,0.011,2.374,0.914,0.124
4856,1621,1621,2.438,0.146,2.358,0.913,0.104
4857,1617,1617,2.445,0.155,2.372,0.916,0.103
4858,1618,1618,2.399,0.276,2.335,0.916,0.084
4859,1619,1619,2.403,0.292,2.346,0.919,0.083
4860,1617,1617,2.445,0.155,2.372,0.916,0.103
4861,1619,1619,2.403,0.292,2.346,0.919,0.083
4862,1620,1620,2.453,0.164,2.386,0.920,0.103
4863,1617,1617,2.445,0.155,2.372,0.916,0.103
4864,1620,1620,2.453,0.164,2.386,0.920,0.103
4865,171,171,2.473,0.011,2.405,0.920,0.124
4866,1617,1617,2.445,0.155,2.372,0.916,0.103
4867,1621,1621,2.438,0.146,2.358,0.913,0.104
4868,1622,1622,2.394,0.259,2.323,0.912,0.085
4869,1617,1617,2.445,0.155,2.372,0.916,0.103
4870,1622,1622,2.394,0.259,2.323,0.912,0.085
4871,1618,1618,2.399,0.276,2.335,0.916,0.084
4872,1661,1661,2.329,0.350,2.286,0.915,0.068
4873,1619,1619,2.403,0.292,2.346,0.919,0.083
4874,1618,1618,2.399,0.276,2.335,0.916,0.084
4875,1661,1661,2.329,0.350,2.286,0.915,0.068
4876,1618,1618,2.399,0.276,2.335,0.916,0.084
4877,1622,1622,2.394,0.259,2.323,0.912,0.085
4878,1661,1661,2.329,0.350,2.286,0.915,0.068
4879,1622,1622,2.394,0.259,2.323,0.912,0.085
4880,1663,1663,2.329,0.329,2.277,0.912,0.069
4881,1661,1661,2.329,0.350,2.286,0.915,0.068
4882,1598,1598,2.246,0.377,2.229,0.915,0.054
4883,1597,1597,2.241,0.400,2.234,0.919,0.053
4884,1661,1661,2.329,0.350,2.286,0.915,0.068
4885,1597,1597,2.241,0.400,2.234,0.919,0.053
4886,1662,1662,2.329,0.371,2.294,0.919,0.068
4887,1661,1661,2.329,0.350,2.286,0.915,0.068
4888,1662,1662,2.329,0.371,2.294,0.919,0.068
4889,1619,1619,2.403,0.292,2.346,0.919,0.083
4890,1661,1661,2.329,0.350,2.286,0.915,0.068
4891,1663,1663,2.329,0.329,2.277,0.912,0.069
4892,1599,1599,2.251,0.355,2.224,0.911,0.055
4893,1661,1661,2.329,0.350,2.286,0.915,0.068
4894,1599,1599,2.251,0.355,2.224,0.911,0.055
4895,1598,1598,2.246,0.377,2.229,0.915,0.054
4896,1593,1593,2.158,0.358,2.168,0.914,0.038
4897,1597,1597,2.241,0.400,2.234,0.919,0.053
4898,1598,1598,2.246,0.377,2.229,0.915,0.054
4899,1593,1593,2.158,0.358,2.168,0.914,0.038
4900,1598,1598,2.246,0.377,2.229,0.915,0.054
4901,1599,1599,2.251,0.355,2.224,0.911,0.055
4902,1593,1593,2.158,0.358,2.168,0.914,0.038
4903,1599,1599,2.251,0.355,2.224,0.911,0.055
4904,1600,1600,2.168,0.336,2.167,0.910,0.039
4905,1593,1593,2.158,0.358,2.168,0.914,0.038
4906,1594,1594,2.091,0.288,2.121,0.914,0.021
4907,1595,1595,2.076,0.305,2.119,0.918,0.020
4908,1593,1593,2.158,0.358,2.168,0.914,0.038
4909,1595,1595,2.076,0.305,2.119,0.918,0.020
4910,1596,1596,2.148,0.379,2.170,0.919,0.037
4911,1593,1593,2.158,0.358,2.168,0.914,0.038
4912,1596,1596,2.148,0.379,2.170,0.919,0.037
4913,1597,1597,2.241,0.400,2.234,0.919,0.053
4914,1593,1593,2.158,0.358,2.168,0.914,0.038
4915,1600,1600,2.168,0.336,2.167,0.910,0.039
4916,1601,1601,2.105,0.271,2.122,0.909,0.022
4917,1593,1593,2.158,0.358,2.168,0.914,0.038
4918,1601,1601,2.105,0.271,2.122,0.909,0.022
4919,1594,1594,2.091,0.288,2.121,0.914,0.021
4920,1635,1635,2.134,0.386,2.186,0.923,0.037
4921,1596,1596,2.148,0.379,2.170,0.919,0.037
4922,1595,1595,2.076,0.305,2.119,0.918,0.020
4923,1635,1635,2.134,0.386,2.186,0.923,0.037
4924,1595,1595,2.076,0.305,2.119,0.918,0.020
4925,1636,1636,2.061,0.310,2.134,0.923,0.019
4926,1635,1635,2.134,0.386,2.186,0.923,0.037
4927,1597,1597,2.241,0.400,2.234,0.919,0.053
4928,1596,1596,2.148,0.379,2.170,0.919,0.037
4929,1635,1635,2.134,0.386,2.186,0.923,0.037
4930,1636,1636,2.061,0.310,2.134,0.923,0.019
4931,1637,1637,2.052,0.305,2.153,0.927,0.020
4932,1635,1635,2.134,0.386,2.186,0.923,0.037
4933,1637,1637,2.052,0.305,2.153,0.927,0.020
4934,1638,1638,2.123,0.380,2.204,0.927,0.037
4935,1635,1635,2.134,0.386,2.186,0.923,0.037
4936,1638,1638,2.123,0.380,2.204,0.927,0.037
4937,1639,1639,2.217,0.400,2.269,0.927,0.053
4938,1635,1635,2.134,0.386,2.186,0.923,0.037
4939,1639,1639,2.217,0.400,2.269,0.927,0.053
4940,1640,1640,2.228,0.407,2.251,0.923,0.053
4941,1635,1635,2.134,0.386,2.186,0.923,0.037
4942,1640,1640,2.228,0.407,2.251,0.923,0.053
4943,1597,1597,2.241,0.400,2.234,0.919,0.053
4944,1677,1677,2.125,0.360,2.214,0.931,0.037
4945,1638,1638,2.123,0.380,2.204,0.927,0.037
4946,1637,1637,2.052,0.305,2.153,0.927,0.020
4947,1677,1677,2.125,0.360,2.214,0.931,0.037
4948,1637,1637,2.052,0.305,2.153,0.927,0.020
4949,1678,1678,2.057,0.290,2.166,0.931,0.021
4950,1677,1677,2.125,0.360,2.214,0.931,0.037
4951,1639,1639,2.217,0.400,2.269,0.927,0.053
4952,1638,1638,2.123,0.380,2.204,0.927,0.037
4953,1677,1677,2.125,0.360,2.214,0.931,0.037
4954,1678,1678,2.057,0.290,2.166,0.931,0.021
4955,1679,1679,2.049,0.275,2.193,0.935,0.022
4956,1677,1677,2.125,0.360,2.214,0.931,0.037
4957,1679,1679,2.049,0.275,2.193,0.935,0.022
4958,1680,1680,2.109,0.341,2.241,0.935,0.038
4959,1677,1677,2.125,0.360,2.214,0.931,0.037
4960,1680,1680,2.109,0.341,2.241,0.935,0.038
4961,1681,1681,2.188,0.360,2.303,0.934,0.054
4962,1677,1677,2.125,0.360,2.214,0.931,0.037
4963,1681,1681,2.188,0.360,2.303,0.934,0.054
4964,1682,1682,2.213,0.380,2.275,0.930,0.053
4965,1677,1677,2.125,0.360,2.214,0.931,0.037
4966,1682,1682,2.213,0.380,2.275,0.930,0.053
4967,1639,1639,2.217,0.400,2.269,0.927,0.053
4968,1697,1697,2.297,0.352,2.332,0.930,0.068
4969,1682,1682,2.213,0.380,2.275,0.930,0.053
4970,1681,1681,2.188,0.360,2.303,0.934,0.054
4971,1697,1697,2.297,0.352,2.332,0.930,0.068
4972,1681,1681,2.188,0.360,2.303,0.934,0.054
4973,1698,1698,2.264,0.334,2.360,0.933,0.069
4974,1697,1697,2.297,0.352,2.332,0.930,0.068
4975,1639,1639,2.217,0.400,2.269,0.927,0.053
4976,1682,1682,2.213,0.380,2.275,0.930,0.053
4977,1697,1697,2.297,0.352,2.332,0.930,0.068
4978,1698,1698,2.264,0.334,2.360,0.933,0.069
4979,1699,1699,2.326,0.263,2.410,0.933,0.085
4980,1697,1697,2.297,0.352,2.332,0.930,0.068
4981,1699,1699,2.326,0.263,2.410,0.933,0.085
4982,1700,1700,2.367,0.278,2.381,0.930,0.084
4983,1697,1697,2.297,0.352,2.332,0.930,0.068
4984,1700,1700,2.367,0.278,2.381,0.930,0.084
4985,1658,1658,2.379,0.293,2.381,0.927,0.083
4986,1697,1697,2.297,0.352,2.332,0.930,0.068
4987,1658,1658,2.379,0.293,2.381,0.927,0.083
4988,1701,1701,2.305,0.371,2.329,0.926,0.068
4989,1697,1697,2.297,0.352,2.332,0.930,0.068
4990,1701,1701,2.305,0.371,2.329,0.926,0.068
4991,1639,1639,2.217,0.400,2.269,0.927,0.053
4992,1744,1744,2.414,0.156,2.419,0.930,0.103
4993,1700,1700,2.367,0.278,2.381,0.930,0.084
4994,1699,1699,2.326,0.263,2.410,0.933,0.085
4995,1744,1744,2.414,0.156,2.419,0.930,0.103
4996,1699,1699,2.326,0.263,2.410,0.933,0.085
4997,1745,1745,2.368,0.148,2.448,0.933,0.104
4998,1744,1744,2.414,0.156,2.419,0.930,0.103
4999,1658,1658,2.379,0.293,2.381,0.927,0.083
5000,1700,1700,2.367,0.278,2.381,0.930,0.084
5001,1744,1744,2.414,0.156,2.419,0.930,0.103
5002,1745,1745,2.368,0.148,2.448,0.933,0.104
5003,1604,1604,2.385,0.011,2.465,0.933,0.123
5004,1744,1744,2.414,0.156,2.419,0.930,0.103
5005,1604,1604,2.385,0.011,2.465,0.933,0.123
5006,1603,1603,2.434,0.011,2.437,0.930,0.124
5007,1744,1744,2.414,0.156,2.419,0.930,0.103
5008,1603,1603,2.434,0.011,2.437,0.930,0.124
5009,1607,1607,2.450,0.011,2.439,0.927,0.124
5010,1744,1744,2.414,0.156,2.419,0.930,0.103
5011,1607,1607,2.450,0.011,2.439,0.927,0.124
5012,1659,1659,2.429,0.164,2.421,0.927,0.103
5013,1744,1744,2.414,0.156,2.419,0.930,0.103
5014,1659,1659,2.429,0.164,2.421,0.927,0.103
5015,1658,1658,2.379,0.293,2.381,0.927,0.083
5016,1602,1602,2.422,-0.134,2.425,0.930,0.144
5017,1603,1603,2.434,0.011,2.437,0.930,0.124
5018,1604,1604,2.385,0.011,2.465,0.933,0.123
5019,1602,1602,2.422,-0.134,2.425,0.930,0.144
5020,1604,1604,2.385,0.011,2.465,0.933,0.123
5021,1605,1605,2.375,-0.126,2.453,0.933,0.143
5022,1602,1602,2.422,-0.134,2.425,0.930,0.144
5023,1607,1607,2.450,0.011,2.439,0.927,0.124
5024,1603,1603,2.434,0.011,2.437,0.930,0.124
5025,1602,1602,2.422,-0.134,2.425,0.930,0.144
5026,1605,1605,2.375,-0.126,2.453,0.933,0.143
5027,355,355,2.340,-0.240,2.421,0.934,0.161
5028,1602,1602,2.422,-0.134,2.425,0.930,0.144
5029,355,355,2.340,-0.240,2.421,0.934,0.161
5030,354,354,2.383,-0.255,2.392,0.930,0.162
5031,1602,1602,2.422,-0.134,2.425,0.930,0.144
5032,354,354,2.383,-0.255,2.392,0.930,0.162
5033,361,361,2.395,-0.270,2.392,0.927,0.163
5034,1602,1602,2.422,-0.134,2.425,0.930,0.144
5035,361,361,2.395,-0.270,2.392,0.927,0.163
5036,1606,1606,2.437,-0.142,2.427,0.927,0.144
5037,1602,1602,2.422,-0.134,2.425,0.930,0.144
5038,1606,1606,2.437,-0.142,2.427,0.927,0.144
5039,1607,1607,2.450,0.011,2.439,0.927,0.124
5040,353,353,2.318,-0.330,2.348,0.931,0.177
5041,354,354,2.383,-0.255,2.392,0.930,0.162
5042,355,355,2.340,-0.240,2.421,0.934,0.161
5043,353,353,2.318,-0.330,2.348,0.931,0.177
5044,355,355,2.340,-0.240,2.421,0.934,0.161
5045,356,356,2.282,-0.311,2.376,0.934,0.176
5046,353,353,2.318,-0.330,2.348,0.931,0.177
5047,361,361,2.395,-0.270,2.392,0.927,0.163
5048,354,354,2.383,-0.255,2.392,0.930,0.162
5049,353,353,2.318,-0.330,2.348,0.931,0.177
5050,356,356,2.282,-0.311,2.376,0.934,0.176
5051,357,357,2.212,-0.337,2.324,0.935,0.190
5052,353,353,2.318,-0.330,2.348,0.931,0.177
5053,357,357,2.212,-0.337,2.324,0.935,0.190
5054,358,358,2.239,-0.357,2.296,0.931,0.190
5055,353,353,2.318,-0.330,2.348,0.931,0.177
5056,358,358,2.239,-0.357,2.296,0.931,0.190
5057,359,359,2.244,-0.378,2.291,0.928,0.190
5058,353,353,2.318,-0.330,2.348,0.931,0.177
5059,359,359,2.244,-0.378,2.291,0.928,0.190
5060,360,360,2.327,-0.349,2.346,0.927,0.177
5061,353,353,2.318,-0.330,2.348,0.931,0.177
5062,360,360,2.327,-0.349,2.346,0.927,0.177
5063,361,361,2.395,-0.270,2.392,0.927,0.163
5064,1746,1746,2.157,-0.338,2.240,0.931,0.203
5065,358,358,2.239,-0.357,2.296,0.931,0.190
5066,357,357,2.212,-0.337,2.324,0.935,0.190
5067,1746,1746,2.157,-0.338,2.240,0.931,0.203
5068,357,357,2.212,-0.337,2.324,0.935,0.190
5069,1747,1747,2.138,-0.318,2.268,0.934,0.204
5070,1746,1746,2.157,-0.338,2.240,0.931,0.203
5071,359,359,2.244,-0.378,2.291,0.928,0.190
5072,358,358,2.239,-0.357,2.296,0.931,0.190
5073,1746,1746,2.157,-0.338,2.240,0.931,0.203
5074,1747,1747,2.138,-0.318,2.268,0.934,0.204
5075,1742,1742,2.077,-0.252,2.219,0.934,0.220
5076,1746,1746,2.157,-0.338,2.240,0.931,0.203
5077,1742,1742,2.077,-0.252,2.219,0.934,0.220
5078,1741,1741,2.089,-0.267,2.192,0.931,0.219
5079,1746,1746,2.157,-0.338,2.240,0.931,0.203
5080,1741,1741,2.089,-0.267,2.192,0.931,0.219
5081,1706,1706,2.085,-0.283,2.182,0.928,0.218
5082,1746,1746,2.157,-0.338,2.240,0.931,0.203
5083,1706,1706,2.085,-0.283,2.182,0.928,0.218
5084,1705,1705,2.157,-0.357,2.232,0.928,0.203
5085,1746,1746,2.157,-0.338,2.240,0.931,0.203
5086,1705,1705,2.157,-0.357,2.232,0.928,0.203
5087,359,359,2.244,-0.378,2.291,0.928,0.190
5088,1740,1740,2.053,-0.142,2.164,0.931,0.239
5089,1741,1741,2.089,-0.267,2.192,0.931,0.219
5090,1742,1742,2.077,-0.252,2.219,0.934,0.220
5091,1740,1740,2.053,-0.142,2.164,0.931,0.239
5092,1742,1742,2.077,-0.252,2.219,0.934,0.220
5093,1743,1743,2.045,-0.133,2.191,0.934,0.239
5094,1740,1740,2.053,-0.142,2.164,0.931,0.239
5095,1706,1706,2.085,-0.283,2.182,0.928,0.218
5096,1741,1741,2.089,-0.267,2.192,0.931,0.219
5097,1740,1740,2.053,-0.142,2.164,0.931,0.239
5098,1743,1743,2.045,-0.133,2.191,0.934,0.239
5099,1685,1685,2.032,0.011,2.177,0.934,0.261
5100,1740,1740,2.053,-0.142,2.164,0.931,0.239
5101,1685,1685,2.032,0.011,2.177,0.934,0.261
5102,1684,1684,2.038,0.011,2.150,0.931,0.262
5103,1740,1740,2.053,-0.142,2.164,0.931,0.239
5104,1684,1684,2.038,0.011,2.150,0.931,0.262
5105,1643,1643,2.032,0.011,2.137,0.928,0.262
5106,1740,1740,2.053,-0.142,2.164,0.931,0.239
5107,1643,1643,2.032,0.011,2.137,0.928,0.262
5108,1709,1709,2.047,-0.150,2.151,0.928,0.238
5109,1740,1740,2.053,-0.142,2.164,0.931,0.239
5110,1709,1709,2.047,-0.150,2.151,0.928,0.238
5111,1706,1706,2.085,-0.283,2.182,0.928,0.218
5112,1683,1683,2.034,0.164,2.148,0.931,0.286
5113,1684,1684,2.038,0.011,2.150,0.931,0.262
5114,1685,1685,2.032,0.011,2.177,0.934,0.261
5115,1683,1683,2.034,0.164,2.148,0.931,0.286
5116,1685,1685,2.032,0.011,2.177,0.934,0.261
5117,1686,1686,2.028,0.156,2.175,0.934,0.284
5118,1683,1683,2.034,0.164,2.148,0.931,0.286
5119,1643,1643,2.032,0.011,2.137,0.928,0.262
5120,1684,1684,2.038,0.011,2.150,0.931,0.262
5121,1683,1683,2.034,0.164,2.148,0.931,0.286
5122,1686,1686,2.028,0.156,2.175,0.934,0.284
5123,1687,1687,2.049,0.275,2.193,0.934,0.306
5124,1683,1683,2.034,0.164,2.148,0.931,0.286
5125,1687,1687,2.049,0.275,2.193,0.934,0.306
5126,1688,1688,2.057,0.290,2.166,0.931,0.310
5127,1683,1683,2.034,0.164,2.148,0.931,0.286
5128,1688,1688,2.057,0.290,2.166,0.931,0.310
5129,1645,1645,2.052,0.305,2.153,0.928,0.312
5130,1683,1683,2.034,0.164,2.148,0.931,0.286
5131,1645,1645,2.052,0.305,2.153,0.928,0.312
5132,1644,1644,2.027,0.173,2.134,0.928,0.287
5133,1683,1683,2.034,0.164,2.148,0.931,0.286
5134,1644,1644,2.027,0.173,2.134,0.928,0.287
5135,1643,1643,2.032,0.011,2.137,0.928,0.262
5136,1641,1641,2.036,0.176,2.115,0.924,0.287
5137,1644,1644,2.027,0.173,2.134,0.928,0.287
5138,1645,1645,2.052,0.305,2.153,0.928,0.312
5139,1641,1641,2.036,0.176,2.115,0.924,0.287
5140,1645,1645,2.052,0.305,2.153,0.928,0.312
5141,1646,1646,2.061,0.310,2.134,0.924,0.313
5142,1641,1641,2.036,0.176,2.115,0.924,0.287
5143,1643,1643,2.032,0.011,2.137,0.928,0.262
5144,1644,1644,2.027,0.173,2.134,0.928,0.287
5145,1641,1641,2.036,0.176,2.115,0.924,0.287
5146,1642,1642,2.041,0.011,2.117,0.924,0.262
5147,1643,1643,2.032,0.011,2.137,0.928,0.262
5148,1641,1641,2.036,0.176,2.115,0.924,0.287
5149,1646,1646,2.061,0.310,2.134,0.924,0.313
5150,1647,1647,2.076,0.305,2.119,0.919,0.312
5151,1641,1641,2.036,0.176,2.115,0.924,0.287
5152,1647,1647,2.076,0.305,2.119,0.919,0.312
5153,1648,1648,2.052,0.172,2.100,0.919,0.287
5154,1641,1641,2.036,0.176,2.115,0.924,0.287
5155,1648,1648,2.052,0.172,2.100,0.919,0.287
5156,1649,1649,2.057,0.011,2.103,0.920,0.262
5157,1641,1641,2.036,0.176,2.115,0.924,0.287
5158,1649,1649,2.057,0.011,2.103,0.920,0.262
5159,1642,1642,2.041,0.011,2.117,0.924,0.262
5160,1708,1708,2.056,-0.153,2.132,0.924,0.238
5161,1643,1643,2.032,0.011,2.137,0.928,0.262
5162,1642,1642,2.041,0.011,2.117,0.924,0.262
5163,1708,1708,2.056,-0.153,2.132,0.924,0.238
5164,1642,1642,2.041,0.011,2.117,0.924,0.262
5165,1649,1649,2.057,0.011,2.103,0.920,0.262
5166,1708,1708,2.056,-0.153,2.132,0.924,0.238
5167,1709,1709,2.047,-0.150,2.151,0.928,0.238
5168,1643,1643,2.032,0.011,2.137,0.928,0.262
5169,1708,1708,2.056,-0.153,2.132,0.924,0.238
5170,1706,1706,2.085,-0.283,2.182,0.928,0.218
5171,1709,1709,2.047,-0.150,2.151,0.928,0.238
5172,1708,1708,2.056,-0.153,2.132,0.924,0.238
5173,1707,1707,2.095,-0.288,2.163,0.924,0.218
5174,1706,1706,2.085,-0.283,2.182,0.928,0.218
5175,1708,1708,2.056,-0.153,2.132,0.924,0.238
5176,1649,1649,2.057,0.011,2.103,0.920,0.262
5177,1675,1675,2.072,-0.150,2.117,0.920,0.238
5178,1708,1708,2.056,-0.153,2.132,0.924,0.238
5179,1675,1675,2.072,-0.150,2.117,0.920,0.238
5180,1625,1625,2.109,-0.282,2.147,0.921,0.218
5181,1708,1708,2.056,-0.153,2.132,0.924,0.238
5182,1625,1625,2.109,-0.282,2.147,0.921,0.218
5183,1707,1707,2.095,-0.288,2.163,0.924,0.218
5184,1703,1703,2.168,-0.364,2.214,0.924,0.202
5185,1705,1705,2.157,-0.357,2.232,0.928,0.203
5186,1706,1706,2.085,-0.283,2.182,0.928,0.218
5187,1703,1703,2.168,-0.364,2.214,0.924,0.202
5188,1706,1706,2.085,-0.283,2.182,0.928,0.218
5189,1707,1707,2.095,-0.288,2.163,0.924,0.218
5190,1703,1703,2.168,-0.364,2.214,0.924,0.202
5191,1707,1707,2.095,-0.288,2.163,0.924,0.218
5192,1625,1625,2.109,-0.282,2.147,0.921,0.218
5193,1703,1703,2.168,-0.364,2.214,0.924,0.202
5194,1704,1704,2.257,-0.385,2.274,0.924,0.190
5195,359,359,2.244,-0.378,2.291,0.928,0.190
5196,1703,1703,2.168,-0.364,2.214,0.924,0.202
5197,359,359,2.244,-0.378,2.291,0.928,0.190
5198,1705,1705,2.157,-0.357,2.232,0.928,0.203
5199,1703,1703,2.168,-0.364,2.214,0.924,0.202
5200,1625,1625,2.109,-0.282,2.147,0.921,0.218
5201,1624,1624,2.181,-0.357,2.198,0.921,0.203
5202,1703,1703,2.168,-0.364,2.214,0.924,0.202
5203,1624,1624,2.181,-0.357,2.198,0.921,0.203
5204,389,389,2.269,-0.377,2.257,0.921,0.190
5205,1703,1703,2.168,-0.364,2.214,0.924,0.202
5206,389,389,2.269,-0.377,2.257,0.921,0.190
5207,1704,1704,2.257,-0.385,2.274,0.924,0.190
5208,1732,1732,2.341,-0.355,2.330,0.924,0.178
5209,359,359,2.244,-0.378,2.291,0.928,0.190
5210,1704,1704,2.257,-0.385,2.274,0.924,0.190
5211,1732,1732,2.341,-0.355,2.330,0.924,0.178
5212,1704,1704,2.257,-0.385,2.274,0.924,0.190
5213,389,389,2.269,-0.377,2.257,0.921,0.190
5214,1732,1732,2.341,-0.355,2.330,0.924,0.178
5215,360,360,2.327,-0.349,2.346,0.927,0.177
5216,359,359,2.244,-0.378,2.291,0.928,0.190
5217,1732,1732,2.341,-0.355,2.330,0.924,0.178
5218,389,389,2.269,-0.377,2.257,0.921,0.190
5219,388,388,2.351,-0.348,2.311,0.920,0.177
5220,1732,1732,2.341,-0.355,2.330,0.924,0.178
5221,388,388,2.351,-0.348,2.311,0.920,0.177
5222,173,173,2.419,-0.270,2.358,0.920,0.163
5223,1732,1732,2.341,-0.355,2.330,0.924,0.178
5224,173,173,2.419,-0.270,2.358,0.920,0.163
5225,1733,1733,2.410,-0.275,2.377,0.924,0.163
5226,1732,1732,2.341,-0.355,2.330,0.924,0.178
5227,1733,1733,2.410,-0.275,2.377,0.924,0.163
5228,361,361,2.395,-0.270,2.392,0.927,0.163
